Unnamed: 0,x,y,region,dt_placement,year,month,ndvi_new,ndmi_new,ndwi_new,ndbi_new,ndvi_mean_new,ndmi_mean_new,ndwi_mean_new,ndbi_mean_new,ndvi_std_new,ndmi_std_new,ndwi_std_new,ndbi_std_new,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan,acc_rainfall_jan_new,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week_new,acc_rainfall_2week_new
39,99.208962,13.30151,Thailand,2022-10-08,2022,10,,,,,0.622327521276927,0.32378936655555296,-0.501386764466167,-0.32378936655555296,0.100377935477637,0.0474249390152042,0.0666492285251897,0.0474249390152042,15046.0,,14937.125,14904.3076923077,15043.6428571429,15060.1428571429,82.7,184.5,1651.1,3309.4043055255124,2022-10-01,2022-09-24,2022-10-01,2022-09-24,149.27663196359873,296.89878706422684
40,99.208962,13.319477,Thailand,2022-10-08,2022,10,0.7892944038929441,0.40209723546234494,-0.6291537439078421,-0.40209723546234494,0.487717128745262,0.315908120116635,-0.396070516270057,-0.315908120116635,0.106698870950861,0.0465309567924345,0.0792827535038347,0.0465309567924345,15090.0,,14953.545454545501,14923.8125,15067.1818181818,15081.833333333301,82.7,184.5,1651.1,3309.4043055255124,2022-10-01,2022-09-24,2022-10-01,2022-09-24,149.27663196359873,296.89878706422684
41,99.208962,13.337444,Thailand,2022-10-08,2022,10,0.5406719717064551,0.29505759940542503,-0.44485903814262,-0.29505759940542503,0.616713124901036,0.323096419948336,-0.5005089218758411,-0.323096419948336,0.0939374722277119,0.0396680992427918,0.0684349994169233,0.0396680992427918,15025.0,,14926.7307692308,14937.1818181818,15070.571428571398,15048.363636363601,82.7,184.5,1651.1,3309.4043055255124,2022-10-01,2022-09-24,2022-10-01,2022-09-24,149.27663196359873,296.89878706422684
42,99.208962,13.355411,Thailand,2022-10-08,2022,10,0.595920968769917,0.28564093787438,-0.497309148893761,-0.28564093787438,0.6517646093776079,0.310813475432086,-0.535329824558303,-0.310813475432086,0.0375745644094162,0.0189292109507246,0.0269201862148706,0.0189292109507246,15017.0,,14916.7307692308,14934.0,15013.285714285701,15030.7,82.7,184.5,1651.1,3309.4043055255124,2022-10-01,2022-09-24,2022-10-01,2022-09-24,149.27663196359873,296.89878706422684
43,99.208962,13.373377,Thailand,2022-10-08,2022,10,,,,,0.541322043871952,0.281042375098105,-0.44493054412635996,-0.281042375098105,0.0618225652768289,0.0331829971784686,0.0510642687889868,0.0331829971784686,14904.0,,14933.9230769231,14991.4,15039.538461538501,15036.0,82.7,184.5,1651.1,3309.4043055255124,2022-10-01,2022-09-24,2022-10-01,2022-09-24,149.27663196359873,296.89878706422684
44,99.208962,13.391344,Thailand,2022-10-08,2022,10,,,,,0.48725866593126,0.24519483901069394,-0.4056498064753661,-0.24519483901069394,0.0289502578821992,0.01589228986924,0.0250961746416292,0.01589228986924,14817.0,,14933.458333333301,14959.777777777801,15013.5,15023.071428571398,82.7,184.5,1651.1,3309.4043055255124,2022-10-01,2022-09-24,2022-10-01,2022-09-24,149.27663196359873,296.89878706422684
45,99.208962,13.409311,Thailand,2022-10-08,2022,10,0.455541069100391,0.22843309859154898,-0.366462668298654,-0.22843309859154898,0.455031658172209,0.220427456579278,-0.37078508295056894,-0.220427456579278,0.0259907001976513,0.0149014426913105,0.0179901816426682,0.0149014426913105,14880.0,,14898.833333333301,14896.6,14965.416666666699,15009.714285714299,98.8,200.4,1712.6,3442.4574004075725,2022-10-01,2022-09-24,2022-10-01,2022-09-24,182.58680538684385,323.1097540976792
46,99.208962,13.427277,Thailand,2022-10-08,2022,10,0.504139834406624,0.25696713434557,-0.41865509761388303,-0.25696713434557,0.5024626934121,0.254143404272345,-0.414123459460451,-0.254143404272345,0.0491432416297676,0.0274307015416117,0.0387572645657968,0.0274307015416117,14914.0,,14921.652173913,14909.5,15047.846153846202,15035.285714285701,98.8,200.4,1712.6,3442.4574004075725,2022-10-01,2022-09-24,2022-10-01,2022-09-24,182.58680538684385,323.1097540976792
47,99.208962,13.445244,Thailand,2022-10-08,2022,10,0.7882507672073651,0.392625469443496,-0.649080250656964,-0.392625469443496,0.674596147694249,0.337150043432409,-0.5545901309203211,-0.337150043432409,0.122012516507435,0.0447803861013847,0.0959542036935016,0.0447803861013847,15005.0,,14915.0,14920.8,15027.5,15011.636363636399,98.8,200.4,1712.6,3442.4574004075725,2022-10-01,2022-09-24,2022-10-01,2022-09-24,182.58680538684385,323.1097540976792
48,99.208962,13.463211,Thailand,2022-10-08,2022,10,0.772020725388601,0.343937125748503,-0.62415196743555,-0.343937125748503,0.706542268786361,0.33840546227336304,-0.5791464023225871,-0.33840546227336304,0.0893875185847941,0.0362286700041992,0.0645662234262701,0.0362286700041992,14965.0,,14887.0869565217,14872.2727272727,14973.2727272727,14961.9,98.8,200.4,1712.6,3442.4574004075725,2022-10-01,2022-09-24,2022-10-01,2022-09-24,182.58680538684385,323.1097540976792
