"dt_placement_original","Location","GPS","Culex sp.","Aedes","Anopheles","Total","y","x","dt_placement","region","year","month","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_day","lst_night","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","1990_landcover","2000_landcover","2006_landcover","2012_landcover","2018_landcover","acc_rainfall_jan_new","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week_new","acc_rainfall_2week_new"
2017-05-30,"Fabrika stakla","N44 51.385 E20 39.450",12,188,3,203,44.856417,20.6575,2017-05-15,"Serbia",2017,5,0.292393227192317,0.023004600920184,-0.288485764676241,-0.023004600920184,0.388329344717793,0.103337191692313,-0.359876479727624,-0.103337191692313,0.0757845037173845,0.0806162992969173,0.048215747312542,0.0806162992969173,15063,14387,13567.8333333333,13172.4117647059,14015.4,13429.3333333333,14510,13930.1538461538,14761.6428571429,13966.8461538462,121,121,121,121,121,481.325561593225,2017-05-08,2017-05-01,2017-05-08,2017-05-01,58.5728676375074,113.795112895437
2017-05-30,"Vojlovica","N44 50.670 E20 40.240",70,1120,7,1197,44.8445,20.670667,2017-05-15,"Serbia",2017,5,0.443783783783784,0.12676650495676,-0.404311251314406,-0.12676650495676,0.416465827839105,0.115390786340616,-0.378407485642018,-0.115390786340616,0.0427803004307141,0.0237412894842419,0.0329441616114034,0.0237412894842419,15120,14388,13572.5,13186.0588235294,14055.4444444444,13466.9166666667,14524.625,13941.6666666667,14784.0714285714,13970.5833333333,112,112,112,112,112,481.325561593225,2017-05-08,2017-05-01,2017-05-08,2017-05-01,58.5728676375074,113.795112895437
2017-05-30,"Star?evo","N44 48,375 E20 42.362",90,25,2,117,44.80625,20.706033,2017-05-15,"Serbia",2017,5,0.373344604113835,0.0778416629809819,-0.348644161593802,-0.0778416629809819,0.410862179581117,0.109415092280452,-0.372531856540634,-0.109415092280452,0.082184237165867,0.0991609990944255,0.0626068723646774,0.0991609990944255,15083,14375,13626.3333333333,13166.9166666667,14165.8,13454.5,14764.8666666667,13899.4545454545,14978.2857142857,13972.6363636364,112,112,112,112,112,480.131456929542,2017-05-08,2017-05-01,2017-05-08,2017-05-01,58.280603595078,125.969197947416
2017-05-30,"Omoljica","N44 45.190 E20 44.360",60,3,3,66,44.753167,20.739333,2017-05-15,"Serbia",2017,5,0.475931958016649,0.256315465187924,-0.377237419790611,-0.256315465187924,0.499562188047727,0.159647543226357,-0.430654600393507,-0.159647543226357,0.110035691517015,0.105645619166198,0.0760455143316271,0.105645619166198,14978,14406,13515.1428571429,13190.7692307692,14140.5555555556,13496.3636363636,14720.7857142857,13945.4615384615,14961.2307692308,13973.5833333333,112,112,112,112,112,484.653507288479,2017-05-08,2017-05-01,2017-05-08,2017-05-01,62.7936694207601,125.43110976828
2017-05-30,"Ivanovo","N44 44.055 E20 42.140",11,187,14,212,44.73425,20.702333,2017-05-15,"Serbia",2017,5,0.242194716423425,0.131034482758621,-0.21966261563577,-0.131034482758621,0.395761844669552,0.202083458552438,-0.331181011854107,-0.202083458552438,0.101626459417428,0.0639989657871005,0.0736663792083192,0.0639989657871005,14776,14269,13565.875,13211.4,14055.9,13388.1333333333,14532.4375,13949,14781.2142857143,13987.9333333333,112,112,112,112,112,484.653507288479,2017-05-08,2017-05-01,2017-05-08,2017-05-01,62.7936694207601,125.43110976828
2017-05-30,"Dolovo","N44 54.215 E20 52.885",6,5,0,11,44.903583,20.881417,2017-05-15,"Serbia",2017,5,0.446973145197997,0.107858511935877,-0.406637168141593,-0.107858511935877,0.23701781266507,0.0635251125064726,-0.233358912034346,-0.0635251125064726,0.108031480091038,0.0023716266239622,0.0915302583266423,0.0023716266239622,14854,14380,13560,13190.8333333333,14043.0833333333,13488.8888888889,14755.9333333333,13967.4615384615,14949.9090909091,14011.6363636364,112,112,112,112,112,452.399005855434,2017-05-08,2017-05-01,2017-05-08,2017-05-01,41.7730654277839,121.251418265863
2017-06-05,"Rit ispod mosta","N44 52.581 E20 37.879",80,210,1,291,44.87635,20.631317,2017-05-21,"Serbia",2017,5,0.447761194029851,0.185336048879837,-0.377922462266943,-0.185336048879837,0.492956229536951,0.219317944010156,-0.413689610336113,-0.219317944010156,0.105274396001386,0.128251695714496,0.0696630762701889,0.128251695714496,15197,14355,13578.4,13225.6,14077,13554.8888888889,14538.6470588235,14053.25,14801.1428571429,14102,112,112,112,112,112,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Karaula","N44 53.400 E20 38.100",102,21,2,125,44.89,20.635,2017-05-21,"Serbia",2017,5,0.581761006289308,0.271004421983575,-0.482318271119843,-0.271004421983575,0.522029153148877,0.211304105410922,-0.440949338547779,-0.211304105410922,0.118484917733604,0.0774723167316625,0.0820436266372734,0.0774723167316625,15196,14344,13573,13270.8,14080.8888888889,13506,14627.4375,14020.6363636364,14846.5833333333,14062.5555555556,141,141,141,141,141,496.238941913875,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.9133803206496,74.5175189212969
2017-06-05,"Jabuka ","N44 56.830 E20 36.110",166,16,0,182,44.947167,20.601833,2017-05-21,"Serbia",2017,5,0.664328116567728,0.390441839495041,-0.537004734612509,-0.390441839495041,0.536263851854739,0.227993629889883,-0.452946548022717,-0.227993629889883,0.0947835827018482,0.133262755091937,0.0563521666032509,0.133262755091937,15298,14308,13565.5,13221.5833333333,14131.9166666667,13444.5555555556,14623.7058823529,13975.4166666667,14824.4285714286,14059.7,311,311,324,324,311,469.307032087013,2017-05-14,2017-05-07,2017-05-14,2017-05-07,14.4596126799006,68.8567983872636
2017-06-05,"Glogonj","N44 59 017 E20 31.365",17,50,2,69,44.983617,20.52275,2017-05-21,"Serbia",2017,5,0.393018480492813,0.245684906353287,-0.296140619029423,-0.245684906353287,0.444806056164429,0.143444714108448,-0.376139982111504,-0.143444714108448,0.040306244850472,0.0541745319595954,0.0451049197527531,0.0541745319595954,15148,14299,13575.2857142857,13116.6363636364,14102.1666666667,13499.25,14648.625,13960.5,14780.3636363636,14047.0909090909,112,112,112,112,112,472.231448045616,2017-05-14,2017-05-07,2017-05-14,2017-05-07,17.2535491425078,74.5494724283635
