no,station_id,y,x,street,common name,dt_placement,culex.spp,region,dt_placement_original,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
11,Perlez,45.215019,20.372052,D. Tucovica,Ulaz,2023-06-04,1956,Vojvodina,2023-06-11,2023,6,2023-06-03,45.214454037949764,20.37154485562223,0.5472379969024265,0.2661596958174905,-0.4429465575349061,-0.2661596958174905,0.5358106494700101,0.2409060776620321,-0.44513281590036186,-0.2409060776620321,0.03555814776525963,0.06507906991736633,0.03413875820121711,0.06507906991736633,2023-06-04,45.214454037949764,20.37154485562223,14978.0,14373.0,45.214454037949764,20.37154485562223,14085.5,13776.25,14005.230769230771,13588.071428571431,14421.266666666665,13830.0,14605.5,14016.818181818182,2023-06-04,45.25020698625371,20.35009308663565,116.3930332861346,2023-05-28,2023-05-21,2023-05-28,2023-05-21,3.689281270839274,14.62048373837024
12,Perlez,45.215243,20.385334,Ruze Zivanov,Izlaz,2023-06-04,548,Vojvodina,2023-06-11,2023,6,2023-06-03,45.214454037949764,20.385019584884024,0.4205426356589147,0.1786934673366834,-0.33850719013923763,-0.1786934673366834,0.3926286079000513,0.21852770270124344,-0.29766635485742143,-0.21852770270124344,0.042082418391683016,0.08035663086867942,0.06001988160790659,0.08035663086867942,2023-06-04,45.214454037949764,20.385019584884024,15006.0,13720.0,45.214454037949764,20.385019584884024,14078.625,13759.75,13992.307692307693,13573.2,14412.8,13809.0,14599.75,14001.454545454546,2023-06-04,45.25020698625371,20.35009308663565,116.3930332861346,2023-05-28,2023-05-21,2023-05-28,2023-05-21,3.689281270839274,14.62048373837024
13,Ecka,45.311432,20.447702,Kumanovska,1,2023-06-04,1732,Vojvodina,2023-06-11,2023,6,2023-06-03,45.31326871920292,20.447901654772394,0.36759921925829536,0.20389461626575026,-0.2793670115642118,-0.20389461626575026,0.4227204807218853,0.1283266081426143,-0.3545242149096389,-0.1283266081426143,0.052123282279838576,0.07026730424593709,0.05672111246784181,0.07026730424593709,2023-06-04,45.31326871920292,20.447901654772394,15055.0,14324.0,45.31326871920292,20.447901654772394,14082.888888888889,13757.6,13991.8,13521.533333333333,14408.785714285714,13755.272727272728,14646.25,13977.53846153846,2023-06-04,45.350207443681896,20.450093544063833,251.05938226680155,2023-05-28,2023-05-21,2023-05-28,2023-05-21,99.07270803308347,106.02111486071954
14,Ecka,45.311079,20.423453,Lukino Selo,2,2023-06-04,3156,Vojvodina,2023-06-11,2023,6,2023-06-03,45.31326871920292,20.425443772669407,0.5467836257309943,0.2673188261129966,-0.4297297297297297,-0.2673188261129966,0.4155042526099537,0.2017238078873468,-0.3278963913878893,-0.2017238078873468,0.1000637587045852,0.04129911459863043,0.08505694351883564,0.04129911459863043,2023-06-04,45.31326871920292,20.425443772669407,15018.0,14357.0,45.31326871920292,20.425443772669407,14076.666666666664,13744.0,13967.285714285714,13509.142857142857,14330.5625,13758.090909090908,14732.0,14003.666666666664,2023-06-04,45.350207443681896,20.450093544063833,251.05938226680155,2023-05-28,2023-05-21,2023-05-28,2023-05-21,99.07270803308347,106.02111486071954
15,Zrenjanin,45.359569,20.39108,Radoti Miklosa 47,Muzlja,2023-06-04,252,Vojvodina,2023-06-11,2023,6,2023-06-03,45.3581844834089,20.389511161304625,0.3128205128205128,0.03126007089912984,-0.2931905435441504,-0.03126007089912984,0.3154079083400905,0.07452586109938196,-0.2809299599349882,-0.07452586109938196,0.021601422509711348,0.03232548434102602,0.043189604558971764,0.03232548434102602,2023-06-04,45.3581844834089,20.389511161304625,15086.0,14222.0,45.3581844834089,20.389511161304622,14128.444444444443,13794.0,14042.357142857143,13539.153846153846,14408.166666666664,13819.777777777776,14726.333333333336,14070.3,2023-06-04,45.350207443681896,20.35009308663565,189.0992483192531,2023-05-28,2023-05-21,2023-05-28,2023-05-21,54.878561398014426,73.2862388677895
16,Zrenjanin,45.386306,20.413639,Temisvarski drum  14,Dijamant,2023-06-04,280,Vojvodina,2023-06-11,2023,6,2023-06-03,45.38513394193248,20.41196904340761,0.34480062548866297,0.0599835661462613,-0.3173346949195813,-0.0599835661462613,0.2835927529672805,0.08208302285177697,-0.243424397382706,-0.08208302285177697,0.05282194578276779,0.03092638961651129,0.044591599296895344,0.03092638961651129,2023-06-04,45.38513394193249,20.41196904340761,15128.0,14210.0,45.38513394193249,20.41196904340761,14090.666666666664,13737.666666666664,14016.428571428569,13489.416666666664,14433.0,13803.777777777776,14701.6,14065.0,2023-06-04,45.350207443681896,20.450093544063833,251.05938226680155,2023-05-28,2023-05-21,2023-05-28,2023-05-21,99.07270803308347,106.02111486071954
17,Melenci,45.528139,20.304444,Banja Rusanda,Banja Rusanda,2023-06-04,1620,Vojvodina,2023-06-11,2023,6,2023-06-03,45.528864387391614,20.304171209313253,0.6322712657117802,0.3740157480314961,-0.50067186240258,-0.3740157480314961,0.5109158629547861,0.459618751750353,-0.3721604563933247,-0.459618751750353,0.05023308581631267,0.001173711535875782,0.06356939110122856,0.001173711535875782,2023-06-04,45.528864387391614,20.304171209313253,14863.0,,45.528864387391614,20.304171209313253,14006.8,13559.4,13926.733333333335,13483.214285714286,14285.625,13754.272727272728,14664.555555555557,13807.785714285714,2023-06-04,45.550208358538264,20.35009308663565,127.79150196265982,2023-05-28,2023-05-21,2023-05-28,2023-05-21,1.168041208293289,2.325253115966916
18,Melenci,45.511735,20.305917,Brace Mijatov,Mesto,2023-06-04,108,Vojvodina,2023-06-11,2023,6,2023-06-03,45.51089808170922,20.304171209313253,0.14524838012958968,0.3198506533914125,-0.0989637305699482,-0.3198506533914125,0.284389043525292,0.3085444756259188,-0.2147283118899735,-0.3085444756259188,0.09181833173922252,0.08314452141933858,0.06872424953715224,0.08314452141933858,2023-06-04,45.51089808170922,20.304171209313253,14912.0,,45.51089808170922,20.304171209313253,14014.727272727272,13378.4,13941.466666666667,13475.333333333336,14291.6875,13758.727272727272,14692.444444444443,13927.666666666664,2023-06-04,45.550208358538264,20.35009308663565,127.79150196265982,2023-05-28,2023-05-21,2023-05-28,2023-05-21,1.168041208293289,2.325253115966916
19,Novi Becej,45.597078,20.141144,Tapaj Sandora 9 ,Kod Karcike,2023-06-04,43,Vojvodina,2023-06-11,2023,6,2023-06-03,45.59623803370059,20.14247445817173,0.3715395823215153,-0.02938649252448865,-0.3619483964311551,0.02938649252448865,0.33211678832116803,0.15369419201896492,-0.2917496129174961,-0.15369419201896492,0.0,0.0,0.0,0.0,2023-06-04,45.59623803370059,20.14247445817173,15037.0,14423.0,45.59623803370059,20.14247445817173,14053.5,13708.2,14008.2,13504.692307692307,14330.875,13836.545454545454,14679.9,14073.6,2023-06-04,45.550208358538264,20.150092171779278,124.61420401404393,2023-05-28,2023-05-21,2023-05-28,2023-05-21,1.2803220564965159,1.5895800890866667
20,Novi Becej,45.581111,20.143699,Novobecejski put,Vikend Naselje,2023-06-04,1732,Vojvodina,2023-06-11,2023,6,2023-06-03,45.58276330443879,20.14247445817173,0.4402257567983581,0.2162045060658579,-0.3501683501683502,-0.2162045060658579,0.414593073342142,0.2426530658701493,-0.3299866840406193,-0.2426530658701493,0.058205768641853325,0.041124498769660164,0.046275607893883325,0.041124498769660164,2023-06-04,45.5827633044388,20.14247445817173,14893.0,14383.0,45.5827633044388,20.14247445817173,14051.1,13632.0,13994.2,13475.0,14346.933333333332,13776.3,14589.0,13947.5,2023-06-04,45.550208358538264,20.150092171779278,124.61420401404393,2023-05-28,2023-05-21,2023-05-28,2023-05-21,1.2803220564965159,1.5895800890866667
21,Becej,45.612937,20.022146,Srbobranski put 28 ,Sumarak,2023-06-04,196,Vojvodina,2023-06-11,2023,6,2023-06-03,45.61420433938297,20.021201894815587,0.4441223832528181,0.2383319524993097,-0.3441247002398081,-0.2383319524993097,0.4218578447066771,0.19915585910691708,-0.33579068720815397,-0.19915585910691708,0.045589661033152734,0.08215238895423878,0.03033712740845378,0.08215238895423878,2023-06-04,45.614204339382994,20.021201894815587,15246.0,14365.0,45.614204339382994,20.021201894815587,14027.272727272728,13866.666666666664,14047.285714285714,13467.909090909092,14526.416666666664,13757.818181818182,14820.545454545454,13966.2,2023-06-04,45.65020881596645,20.050091714351094,177.55049431189764,2023-05-28,2023-05-21,2023-05-28,2023-05-21,33.37151461886242,33.86506656324491
22,Backa Topola,45.827403,19.631602,Plitvicka,Plitvicka,2023-06-04,86,Vojvodina,2023-06-11,2023,6,2023-06-03,45.82530843115109,19.63043474622356,0.4879472215173815,0.14732928976716886,-0.4361988733774186,-0.14732928976716886,0.5313104281685733,0.1827530831781946,-0.45122654518783895,-0.1827530831781946,0.0677866320112691,0.09818094368131786,0.04469613428707233,0.09818094368131786,2023-06-04,45.82530843115109,19.63043474622356,15084.0,14371.0,45.82530843115109,19.63043474622356,13954.0,13764.571428571431,13983.125,13486.266666666665,14260.4,13806.181818181818,14618.0,13894.0,2023-06-04,45.85020973082282,19.650089884638355,185.6834186140477,2023-05-28,2023-05-21,2023-05-28,2023-05-21,3.4815508387982845,4.712705657351762
23,Backa Topola,45.859583,19.634,Zobnatica,Ergela,2023-06-04,1060,Vojvodina,2023-06-11,2023,6,2023-06-03,45.86124104251587,19.63492632264416,0.6438636945939021,0.2687364049831916,-0.5419370343667388,-0.2687364049831916,0.5803113145760925,0.19519197909274025,-0.4843156599869579,-0.19519197909274025,0.10215378585643904,0.1407616117302063,0.07073299513055578,0.1407616117302063,2023-06-04,45.86124104251587,19.63492632264416,15086.0,14346.0,45.86124104251587,19.63492632264416,13931.714285714286,13701.666666666664,14008.0,13468.533333333333,14285.533333333333,13814.076923076924,14593.0,13906.7,2023-06-04,45.85020973082282,19.650089884638355,185.6834186140477,2023-05-28,2023-05-21,2023-05-28,2023-05-21,3.4815508387982845,4.712705657351762
24,Mali Idjos,45.709719,19.653719,Vasarska,Vasarska,2023-06-04,16,Vojvodina,2023-06-11,2023,6,2023-06-03,45.708527444215534,19.652892628326548,0.4943603851444291,0.12,-0.4336236474003695,-0.12,0.4711145988969156,0.12456906502198987,-0.4151095591820237,-0.12456906502198987,0.06081636763673395,0.05911889539288676,0.04047784857458403,0.05911889539288676,2023-06-04,45.708527444215534,19.652892628326548,15136.0,14300.0,45.708527444215534,19.652892628326548,13992.222222222224,13759.0,14007.785714285714,13459.333333333336,14466.666666666664,13710.9,14716.272727272728,13931.222222222224,2023-06-04,45.75020927339464,19.650089884638355,228.7480416381186,2023-05-28,2023-05-21,2023-05-28,2023-05-21,20.337573040043935,21.324196694302373
25,Mali Idjos,45.701111,19.679061,Lovcenacka,Montel,2023-06-04,1572,Vojvodina,2023-06-11,2023,6,2023-06-03,45.69954429137434,19.679842086850137,0.54149224328983,0.2445328031809145,-0.4636427402384848,-0.2445328031809145,0.5180274547461827,0.17187514701003884,-0.4452764318473044,-0.17187514701003884,0.03788866883299038,0.06208442835936976,0.026597402662072226,0.06208442835936976,2023-06-04,45.69954429137434,19.679842086850137,15169.0,14431.0,45.69954429137434,19.679842086850137,14021.222222222224,13772.8,14080.714285714286,13460.416666666664,14440.384615384617,13740.909090909092,14748.666666666664,13932.444444444443,2023-06-04,45.75020927339464,19.650089884638355,228.7480416381186,2023-05-28,2023-05-21,2023-05-28,2023-05-21,20.337573040043935,21.324196694302373
26,Lovcenac,45.67995,19.68145,Bude Tomanovic,Bude Tomanovic,2023-06-04,0,Vojvodina,2023-06-11,2023,6,2023-06-03,45.68157798569196,19.679842086850137,0.4031684448755253,0.0046296296296296354,-0.35328967882756473,-0.0046296296296296354,0.4132284010201657,0.03067079026345869,-0.3683643582024066,-0.03067079026345869,0.040248184265357874,0.06001966562462334,0.03087550984939972,0.06001966562462334,2023-06-04,45.68157798569196,19.679842086850137,15225.0,14433.0,45.68157798569196,19.679842086850137,14025.666666666664,13774.6,14095.857142857143,13451.384615384617,14453.214285714286,13735.545454545454,14759.333333333336,13923.545454545454,2023-06-04,45.65020881596645,19.650089884638355,183.92580050184915,2023-05-28,2023-05-21,2023-05-28,2023-05-21,15.744324350496754,16.30404864042066
27,Feketic,45.658136,19.709208,Marsala Tita,Pipac,2023-06-04,1084,Vojvodina,2023-06-11,2023,6,2023-06-03,45.65912010358896,19.711283121794324,0.5471360381861574,0.21281571562207674,-0.4437639198218264,-0.21281571562207674,0.5555231943821781,0.22213938849425752,-0.4583382181303591,-0.22213938849425752,0.028846472392431693,0.044533523742620484,0.02272308441121796,0.044533523742620484,2023-06-04,45.659120103588975,19.711283121794324,15104.0,14304.0,45.659120103588975,19.711283121794324,14040.1,13794.2,14063.857142857143,13470.846153846154,14425.071428571431,13722.666666666664,14609.692307692307,13936.363636363636,2023-06-04,45.65020881596645,19.75009034206654,185.06000211213905,2023-05-28,2023-05-21,2023-05-28,2023-05-21,29.555881542619318,30.092799387173727
