"station_id","DISTANCE_TO_FLOOD"
"GR_11073",36415.7860231452
"GR_11074",36397.8659976216
"GR_11075",36488.337833283
"GR_11076",36687.2536284531
"GR_11077",36457.7087950312
"GR_11078",36314.6752759709
"GR_11079",36192.8683098771
"GR_11080",36094.4448273604
"GR_11081",36040.3986465574
"GR_11082",36051.5840653064
"GR_11083",35957.6947577988
"GR_11084",35948.144058752
"GR_11085",36049.1686062322
"GR_11086",36108.664610717
"GR_11087",36112.7288369849
"GR_11088",36069.421130622
"GR_11089",36136.335475917
"GR_11090",36312.9209282433
"GR_11091",36597.5043880674
"GR_11092",36987.6238396897
"GR_11093",37479.9851137519
"GR_11094",38070.7811991092
"GR_11095",38755.2260662757
"GR_11096",39509.2994041764
"GR_11097",40338.2677219089
"GR_11098",41247.1254561528
"GR_11099",42230.9689672083
"GR_11100",34941.388542252
"GR_11101",34805.2612821735
"GR_11102",34807.8889299868
"GR_11103",34560.4975087246
"GR_11104",34427.0775187936
"GR_11105",34408.6429770806
"GR_11106",34504.8551925106
"GR_11107",34715.6593388179
"GR_11108",34478.4622838109
"GR_11109",34335.3630418699
"GR_11110",34207.0350085779
"GR_11111",34108.4779054105
"GR_11112",34054.701196296
"GR_11113",34071.6520739571
"GR_11114",33973.8343084621
"GR_11115",33964.2533428023
"GR_11116",34071.6870403894
"GR_11117",34125.5112944608
"GR_11118",34132.357558573
"GR_11119",34087.0623346842
"GR_11120",34158.3878167685
"GR_11121",34345.6693077598
"GR_11122",34646.9357953416
"GR_11123",35059.2815122207
"GR_11124",35578.8458226848
"GR_11125",36201.1805488517
"GR_11126",36918.9244058097
"GR_11127",37699.81598542
"GR_11128",38568.1683648469
"GR_11129",32945.7010691676
"GR_11130",32966.0404011392
"GR_11131",32822.5678264168
"GR_11132",32840.9757912708
"GR_11133",32579.1753175873
"GR_11134",32438.1329552576
"GR_11135",32419.089060609
"GR_11136",32521.7127568645
"GR_11137",32745.8078967253
"GR_11138",32499.8548631316
"GR_11139",32356.6254273597
"GR_11140",32220.9447905472
"GR_11141",32122.1808853634
"GR_11142",32068.6470925199
"GR_11143",32091.9816605318
"GR_11144",31989.7093536373
"GR_11145",31980.0625634189
"GR_11146",32094.6659257764
"GR_11147",32142.0179918709
"GR_11148",32151.8891081057
"GR_11149",32104.3292854606
"GR_11150",32180.5780989858
"GR_11151",32379.8266613746
"GR_11152",32699.7303044324
"GR_11153",33136.8293763711
"GR_11154",33686.5635362742
"GR_11155",34343.7016112577
"GR_11156",35086.7848855764
"GR_11157",35908.0207630999
"GR_11158",36819.1226388358
"GR_11159",31056.6492813967
"GR_11160",30950.4372672566
"GR_11161",30972.6114491979
"GR_11162",31122.8565091602
"GR_11163",30693.8571711053
"GR_11164",30841.5093789638
"GR_11165",30877.5041599426
"GR_11166",30599.4332472472
"GR_11167",30449.7488996051
"GR_11168",30429.9825019561
"GR_11169",30539.8167139044
"GR_11170",30778.8671139681
"GR_11171",30522.8486741969
"GR_11172",30371.3953704852
"GR_11173",30235.3890670398
"GR_11174",30136.3308823207
"GR_11175",30083.0081059318
"GR_11176",30110.3419056347
"GR_11177",30006.1091315069
"GR_11178",29996.3539398484
"GR_11179",30119.0340585206
"GR_11180",30158.9586563933
"GR_11181",30172.1439484493
"GR_11182",30121.9888555238
"GR_11183",30203.7717060773
"GR_11184",30416.4983933725
"GR_11185",30757.3494503997
"GR_11186",31222.1658294724
"GR_11187",31805.5144363328
"GR_11188",32501.2008396339
"GR_11189",33272.0507244742
"GR_11190",34137.4447263035
"GR_11191",35095.0035785958
"GR_11192",29067.8157271734
"GR_11193",28954.8351926431
"GR_11194",28979.0621289739
"GR_11195",29140.110762864
"GR_11196",29435.7368497285
"GR_11197",28800.2820532369
"GR_11198",28682.7218396259
"GR_11199",28703.2170845134
"GR_11200",28861.5794834566
"GR_11201",28917.3403090115
"GR_11202",28620.7560089593
"GR_11203",28461.1951361178
"GR_11204",28440.5690738649
"GR_11205",28558.5821805319
"GR_11206",28814.5963925728
"GR_11207",28546.9342794513
"GR_11208",28385.4691931359
"GR_11209",28249.6335681583
"GR_11210",28150.1751027946
"GR_11211",28097.0247933115
"GR_11212",28126.8157059625
"GR_11213",28022.2983613755
"GR_11214",28012.3831110273
"GR_11215",28144.241387863
"GR_11216",28175.5788987808
"GR_11217",28192.4300386715
"GR_11218",28139.2782329699
"GR_11219",28227.3364963807
"GR_11220",28455.3689877129
"GR_11221",28819.9435546731
"GR_11222",29316.0059250939
"GR_11223",29937.0220486901
"GR_11224",30665.8120792506
