x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-3.059194,5.295056,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.061333,5.285667,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.053944,5.287639,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.0515,5.2895,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.0535,5.277194,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.059639,5.289611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.052083,5.284639,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.055694,5.298528,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15034.4285714286,14871,15181,15238,95.2,139.1,1441.2
-3.058667,5.300944,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14695,15077.5,14871,15159,15226,108.8,157.9,1490.7
-3.045028,5.289167,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14688,15046.8888888889,,15197,15250,95.2,139.1,1441.2
-3.052917,5.284167,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.052306,5.285833,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.052583,5.285167,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.053361,5.284056,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.054944,5.284083,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.054417,5.28475,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.053861,5.285583,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.055639,5.285611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057083,5.285528,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057806,5.284889,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.058667,5.286083,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.05775,5.2865,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
