"site","methods","sampling point","dt_placement","ecozone","altitude","latitude","longitude","x","y","week","month","year","aedesspecies","aedesfemale","aedesmale","aedestotal","country_code","nuts0_code","nuts0_name","nuts1_code","nuts1_name","nuts2_code","nuts2_name","nuts3_code","nuts3_name","lau1_municipality","lau2_settlement","ndbi","ndmi","ndvi","ndwi","ndi_mission","ndi_acquisition","ndi_dates_diff","ndbi_std","ndmi_std","ndvi_std","ndwi_std","ndbi_mean","ndmi_mean","ndvi_mean","ndwi_mean","ndi_measures_mission","ndi_measures_acquisition","ndi_measures_dates_diff","lst_day","lst_day_mission","lst_day_acquisition","lst_day_diff","lst_night","lst_night_mission","lst_night_acquisition","lst_night_diff","lst_jan_day_mean","lst_feb_day_mean","lst_mar_day_mean","lst_apr_day_mean","lst_jan_night_mean","lst_feb_night_mean","lst_mar_night_mean","lst_apr_night_mean","acc_rainfall_1week","acc_rainfall_2week","acc_rainfall_jan","sp_cnt_1km","biol_cnt_1km","wc_l_1km","pg_area_1km","fs_area_1km","wc_mean_dist_1km","coast_mean_dist_1km","dem_mean_1km","slope_mean_1km","aspect_mean_1km","waw_mean_1km","flow_accu_1km"
"Treichvillle","BG-Sentinel Trap","tppzd5","2013-07-06","domestic",35,"N 05°18'39.9"" ","W 004°00'34.3"" ",-4.009528,5.311083,27,7,2013,,0,0,0,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd7","2013-07-06","domestic",44,"N 05°18'40.7"" ","W 004°00'31.4"" ",-4.008722,5.311306,27,7,2013,"Aedes aegypti",17,6,23,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd9","2013-07-06","domestic",58,"N 05°18'41.8"" ","W 004°00'27.7"" ",-4.007694,5.311611,27,7,2013,"Aedes aegypti",0,0,0,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd13","2013-07-06","domestic",16,"N 05°18'39.0"" ","W 004°00'32.2"" ",-4.008944,5.310833,27,7,2013,,0,0,0,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd15","2013-07-06","domestic",30,"N 05°18'37.6"" ","W 004°00'35.9"" ",-4.009972,5.310444,27,7,2013,,0,0,0,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd17","2013-07-06","domestic",29,"N 05°18'36.2"" ","W 004°00'39.2"" ",-4.010889,5.310056,27,7,2013,"Aedes aegypti",0,11,11,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.097932587370609,0.097932587370609,0.043672498215457,0.157600138948104,-0.022914849539431,0.022914849539431,0.102245635656417,-0.065303327862178,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd19","2013-07-06","domestic",41,"N 05°18'35.3"" ","W 004°00'42.5"" ",-4.011806,5.309806,27,7,2013,,0,0,0,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.098051838559184,0.098051838559184,0.053107051131314,0.150387169988621,-0.026473635099529,0.026473635099529,0.129919768841241,-0.085507202900414,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd21","2013-07-06","domestic",126,"N 05°18'36.6"" ","W 004°00'43.6"" ",-4.012111,5.310167,27,7,2013,"Aedes aegypti",3,3,6,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.098051838559184,0.098051838559184,0.053107051131314,0.150387169988621,-0.026473635099529,0.026473635099529,0.129919768841241,-0.085507202900414,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd23","2013-07-06","domestic",150,"N 05°18'35.0"" ","W 004°00'48.8"" ",-4.013556,5.309722,27,7,2013,,0,0,0,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.098051838559184,0.098051838559184,0.053107051131314,0.150387169988621,-0.026473635099529,0.026473635099529,0.129919768841241,-0.085507202900414,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd27","2013-07-06","domestic",86,"N 05°18'33.9"" ","W 004°00'52.4"" ",-4.014556,5.309417,27,7,2013,,0,0,0,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.081711698039316,0.081711698039316,0.040295496180583,0.093157326297696,0.019682810665569,-0.019682810665569,0.147164037434918,-0.16239104464853,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
