x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-3.969173,5.344811,2022-12-12,12,2022,Ivory Coast,0.127690802348337,-0.153662566550395,-0.138552729068906,0.153662566550395,0.121887078780555,-0.099835731794847,-0.124623359066497,0.099835731794847,0.0912478363871264,0.0910213106500378,0.0668944265613328,0.0910213106500378,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.058417,5.283778,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.049389,5.282611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.059194,5.295056,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.061333,5.285667,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.053944,5.287639,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.0515,5.2895,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.0535,5.277194,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,15042,,15038.3333333333,14726.5833333333,,14753.6363636364,15138,14696.75,15027,14705,15.8,104.3,1709
-3.059639,5.289611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.052083,5.284639,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.055694,5.298528,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.058667,5.300944,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14413,15077.5,14745,14871,14752.7777777778,15159,14709.75,15226,14729,19.7,123.6,1823.9
-3.045028,5.289167,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,15097,,15046.8888888889,14739.1666666667,,14754.1,15197,14695.75,15250,14699,15.8,104.3,1709
-3.052917,5.284167,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.052306,5.285833,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.052583,5.285167,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.053361,5.284056,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.054944,5.284083,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.054417,5.28475,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.053861,5.285583,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.055639,5.285611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.057083,5.285528,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.057806,5.284889,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
