station_id,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,sex,dt_placement_original,x,y,anopheles_total,region,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
PE-BG-4,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Pergine,,BG-Sentinel,,2023-07-11,11.24094,46.06638,0,Italy,2023-06-22,46.06785355786339,11.240169992546496,0.3082362728785358,0.10389610389610383,-0.29690721649484536,-0.10389610389610383,0.350623395107115,0.13041973083004388,-0.32692188668565936,-0.13041973083004388,0.060113848027017774,0.03013357511913712,0.0478209463532324,0.03013357511913712,2023-06-26,46.06785355786338,11.240169992546496,15431.0,14742.0,46.06785355786338,11.240169992546496,13848.818181818182,13543.625,14079.333333333336,13632.4375,14450.529411764706,13783.75,14625.733333333335,13912.071428571431,2023-06-26,46.05021064567919,11.250051460670813,185.55174691256252,2023-06-19,2023-06-12,2023-06-19,2023-06-12,2.7471739182947204,3.353277413378237
288,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,,2023-07-27,10.844454,45.890818,0,Italy,2023-07-12,45.89268207746006,10.84491126753387,0.28612792840221113,-0.0028571428571428263,-0.286466561348078,0.0028571428571428263,0.31239025644793217,0.002599564755584824,-0.3100317935488869,-0.002599564755584824,0.0479667732600584,0.028530972142505107,0.036869189742740255,0.028530972142505107,2023-07-11,45.89268207746006,10.84491126753387,15404.0,14665.0,45.89268207746006,10.84491126753387,13964.307692307693,13699.454545454546,14094.764705882351,13749.533333333333,14371.6875,13912.533333333333,14474.888888888889,13992.818181818182,2023-07-12,45.850209730822826,10.850049630958074,296.12884881820355,2023-07-05,2023-06-28,2023-07-05,2023-06-28,113.16360070090741,148.88070662971586
315,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,,2023-07-27,10.864102,45.919723,0,Italy,2023-07-12,45.91963153598365,10.862877573216265,0.476686507936508,0.08888076079005121,-0.4374698213423467,-0.08888076079005121,0.5338515511250033,0.13111352649754435,-0.4782334548428022,-0.13111352649754435,0.09328167490574196,0.061033654340589126,0.06755609951285284,0.061033654340589126,2023-07-11,45.91963153598365,10.86287757321626,15360.0,14817.0,45.91963153598365,10.86287757321626,14027.090909090908,13679.363636363636,14184.933333333332,13783.5625,14486.153846153846,13933.615384615383,14564.428571428569,13985.166666666664,2023-07-12,45.950210188251006,10.850049630958074,311.74213465599314,2023-07-05,2023-06-28,2023-07-05,2023-06-28,148.7048257975839,170.1114559826092
351,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,,2023-07-27,10.855636,45.894986,0,Italy,2023-07-12,45.89717365388066,10.853894420375068,0.2975228161668839,0.012823122328516179,-0.29887757765596457,-0.012823122328516179,0.4723828318385514,0.11047735607027744,-0.4220823035933543,-0.11047735607027744,0.1617871913210387,0.0992675460297787,0.11714647444794593,0.0992675460297787,2023-07-11,45.89717365388066,10.853894420375068,15497.0,14665.0,45.89717365388066,10.853894420375068,13981.714285714286,13651.818181818182,14145.5,13660.875,14458.125,13892.625,14586.277777777776,13973.166666666664,2023-07-12,45.850209730822826,10.850049630958074,296.12884881820355,2023-07-05,2023-06-28,2023-07-05,2023-06-28,113.16360070090741,148.88070662971586
CDCRA5,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,,2023-07-27,10.892337,45.915607,0,Italy,2023-07-12,45.915139959563035,10.894318608160448,0.5056790123456789,0.13938714499252616,-0.4519047619047618,-0.13938714499252616,0.5976507511905977,0.1843885741523263,-0.5146810991123465,-0.1843885741523263,0.11012774975395072,0.07649690848147578,0.07426403244393599,0.07649690848147578,2023-07-11,45.915139959563035,10.894318608160448,15481.0,14613.0,45.91513995956304,10.894318608160448,13978.166666666664,13632.5,14144.5625,13694.571428571431,14524.692307692307,13903.642857142857,14632.64705882353,13970.692307692307,2023-07-12,45.950210188251006,10.850049630958074,311.74213465599314,2023-07-05,2023-06-28,2023-07-05,2023-06-28,148.7048257975839,170.1114559826092
CDCRA6,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,CDC-trap,,2023-07-27,10.862481,45.882249,0,Italy,2023-07-12,45.88369892461886,10.862877573216265,0.5333837238599143,0.1621157151040672,-0.4761096289109872,-0.1621157151040672,0.5643587783332982,0.19209553047676475,-0.4885877281680378,-0.19209553047676475,0.09830352351724793,0.07509967488524763,0.07016072128693987,0.07509967488524763,2023-07-11,45.88369892461886,10.86287757321626,15392.0,14611.0,45.88369892461886,10.86287757321626,13959.076923076924,13639.857142857143,14098.764705882351,13708.8,14387.2,13873.333333333336,14480.85,13983.46153846154,2023-07-12,45.850209730822826,10.850049630958074,296.12884881820355,2023-07-05,2023-06-28,2023-07-05,2023-06-28,113.16360070090741,148.88070662971586
PO-BG-3,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,,2023-07-27,11.160635,46.083488,0,Italy,2023-07-12,46.08132828712517,11.15932161697573,0.5491358024691358,0.16508820798514398,-0.4977321556457388,-0.16508820798514398,0.5630537746230506,0.16042534623872326,-0.5068299883131074,-0.16042534623872326,0.08900110077022676,0.07333126098932086,0.05605741380985803,0.07333126098932086,2023-07-11,46.08132828712517,11.15932161697573,15478.0,14393.0,46.08132828712517,11.15932161697573,13864.7,13597.4,14128.35294117647,13689.764705882351,14459.46153846154,13841.5,14602.176470588234,13926.75,2023-07-12,46.05021064567919,11.150051003242629,335.64237671360024,2023-07-05,2023-06-28,2023-07-05,2023-06-28,69.95504675549455,160.65001959097572
RA-CDC-1,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,,2023-07-27,10.891121,45.905765,0,Italy,2023-07-12,45.906156806721846,10.88982703173985,0.5850467289719626,0.1763481879660135,-0.5085612630642651,-0.1763481879660135,0.6619545724282198,0.22804858409026865,-0.5584893679246007,-0.22804858409026865,0.0535118419457812,0.0598190472994689,0.03659740929868338,0.0598190472994689,2023-07-11,45.906156806721846,10.88982703173985,15401.0,14466.0,45.906156806721846,10.88982703173985,13949.533333333333,13627.6,14124.5,13660.285714285714,14472.071428571431,13864.153846153846,14602.388888888889,13919.692307692307,2023-07-12,45.950210188251006,10.850049630958074,311.74213465599314,2023-07-05,2023-06-28,2023-07-05,2023-06-28,148.7048257975839,170.1114559826092
ST-BG-3,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Castel Ivano,,BG-Sentinel,,2023-07-27,11.525146,46.066722,0,Italy,2023-07-12,46.06785355786339,11.523139307044168,0.6494591937069812,0.2476757158795091,-0.5568445475638051,-0.2476757158795091,0.6224661321280309,0.2179671146957309,-0.5368545419226103,-0.2179671146957309,0.08030933442357356,0.0575547875040363,0.05897204642936325,0.0575547875040363,2023-07-11,46.06785355786338,11.523139307044168,15242.0,14513.0,46.06785355786338,11.523139307044168,13877.625,13517.4,14084.411764705883,13627.0,14396.545454545454,13829.888888888889,14612.363636363636,13900.272727272728,2023-07-12,46.05021064567919,11.550052832955368,606.3231403598329,2023-07-05,2023-06-28,2023-07-05,2023-06-28,331.92133878858294,412.4242018678924
ST-BG-4,2023-07-12,30,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Telve,,BG-Sentinel,,2023-07-27,11.48068,46.068981,0,Italy,2023-07-12,46.06785355786339,11.482715119258788,0.39353565260301016,0.09140096618357492,-0.3662312530237059,-0.09140096618357492,0.5699195445834592,0.19186759596528807,-0.4935662730255211,-0.19186759596528807,0.08116098984812453,0.054022014506771535,0.057024192528639016,0.054022014506771535,2023-07-11,46.06785355786338,11.482715119258788,15306.0,14541.0,46.06785355786338,11.482715119258788,13796.5,13495.363636363636,14123.46153846154,13580.0,14413.23076923077,13826.222222222224,14647.272727272728,13899.454545454546,2023-07-12,46.05021064567919,11.450052375527182,439.13636834101635,2023-07-05,2023-06-28,2023-07-05,2023-06-28,178.6819787636632,267.7348477408523
